Description,Amount,Transaction Date,Transaction Type,Status,Statement id,Bank and last 4
PY *SPACE SHOP STORAGE O NORTH OLMSTED,142.6,2025-01-02,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON.COM*ZD0PJ36S2 AMZN.COM/BILL,36.84,2025-01-05,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON.COM*ZD0IY26K2 AMZN.COM/BILL,36.84,2025-01-05,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON.COM*ZP8BF8XV1 AMZN.COM/BILL,7.5,2025-01-06,Purchase,New,2025-01 - Discover 1342,Discover 1342
PRIME VIDEO CHANNELS AMZN.COM/BILL,12.99,2025-01-07,Purchase,New,2025-01 - Discover 1342,Discover 1342
AUTOMATIC STATEMENT CREDIT,-4.55,2024-12-13,Credit,New,2025-01 - Discover 1342,Discover 1342
AMAZON PRIME*Z122D6JU1 AMZN.COM/BILL,7.64,2024-12-17,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON MKTPL*Z95Q15K32 AMZN.COM/BILL,39.3,2024-12-20,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON MKTPL*Z989E09H2 AMZN.COM/BILL,19.64,2024-12-20,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON MKTPL*Z96H44I62 AMZN.COM/BILL,111.4,2024-12-20,Purchase,New,2025-01 - Discover 1342,Discover 1342
AMAZON MKTPL*Z12024Y81 AMZN.COM/BILL,72.57,2024-12-20,Purchase,New,2025-01 - Discover 1342,Discover 1342
INTUIT *QBOOKS ONLINE CL.INTUIT.COMCA,35.0,2024-12-26,Purchase,New,2025-01 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-250.0,2024-12-31,Payment,New,2025-01 - Discover 1342,Discover 1342
INTEREST CHARGE ON PURCHASES,161.83,2025-01-12,Purchase,New,2025-01 - Discover 1342,Discover 1342
