Description,Amount,Transaction Date,Transaction Type,Status,Statement id,Bank and last 4
AUTOMATIC STATEMENT CREDIT,-10.81,2025-03-13,Credit,New,2025-04 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-250.00,2025-04-01,Payment,New,2025-04 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-1000.00,2025-04-10,Payment,New,2025-04 - Discover 1342,Discover 1342
AMAZON PRIME*312HS1LR3 AMZN.COM/BILLWA,7.64,2025-03-17,Purchase,New,2025-04 - Discover 1342,Discover 1342
TOUR FACTORY 8884583943 IL,275.00,2025-03-17,Purchase,New,2025-04 - Discover 1342,Discover 1342
FASTPOST 2099144140 CA,87.87,2025-03-19,Purchase,New,2025-04 - Discover 1342,Discover 1342
FASTPOST 2099144140 CA,81.00,2025-03-24,Purchase,New,2025-04 - Discover 1342,Discover 1342
TOUR FACTORY 8884583943 IL,350.00,2025-03-24,Purchase,New,2025-04 - Discover 1342,Discover 1342
WWW.CUBETRACKER.COM 2693597886 MI,19.95,2025-03-25,Purchase,New,2025-04 - Discover 1342,Discover 1342
SQ *YAHWEH SABAOTH TOW FAIRFIELD CA,240.00,2025-03-25,Purchase,New,2025-04 - Discover 1342,Discover 1342
INTUIT *QBOOKS ONLINE CL.INTUIT.COMCA,35.00,2025-03-26,Purchase,New,2025-04 - Discover 1342,Discover 1342
EBAY O 05-12883-65946 SAN JOSE CA,103.79,2025-03-26,Purchase,New,2025-04 - Discover 1342,Discover 1342
AMAZON KIDS *RH91D52N3 888-802-3080 WA,5.99,2025-03-27,Purchase,New,2025-04 - Discover 1342,Discover 1342
IN-N-OUT PLEASANT HILL PLEASANT HILLCA,17.70,2025-03-31,Purchase,New,2025-04 - Discover 1342,Discover 1342
PY *SPACE SHOP STORAGE O NORTH OLMSTEDOH,142.60,2025-04-01,Purchase,New,2025-04 - Discover 1342,Discover 1342
AMAZON.COM*QJ6HL05N3 AMZN.COM/BILLWA,8.28,2025-04-02,Purchase,New,2025-04 - Discover 1342,Discover 1342
FASTPOST 2099144140 CA,20.00,2025-04-03,Purchase,New,2025-04 - Discover 1342,Discover 1342
AMAZON.COM*F47PL2JM3 AMZN.COM/BILLWA,34.89,2025-04-04,Purchase,New,2025-04 - Discover 1342,Discover 1342
PRIME VIDEO CHANNELS AMZN.COM/BILLWA,9.99,2025-04-07,Purchase,New,2025-04 - Discover 1342,Discover 1342
FASTPOST 2099144140 CA,81.00,2025-04-09,Purchase,New,2025-04 - Discover 1342,Discover 1342
TOUR FACTORY 8884583943 IL,350.00,2025-04-09,Purchase,New,2025-04 - Discover 1342,Discover 1342
INTEREST CHARGE ON PURCHASES,157.15,2025-04-12,Purchase,New,2025-04 - Discover 1342,Discover 1342
