Description,Amount,Transaction Date,Transaction Type,Status,Statement id,Bank and last 4
CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.37,2025-05-13,Credit,New,2025-06 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-825.00,2025-05-28,Payment,New,2025-06 - Discover 1342,Discover 1342
PAYMENT - THANK YOU,-1.00,2025-05-30,Payment,New,2025-06 - Discover 1342,Discover 1342
"GOOGLE *GOOGLE ONE 855-836-3987 CA",19.99,2025-05-12,Purchase,New,2025-06 - Discover 1342,Discover 1342
"BIKERS AGAINST DRUNK DRI 844-4272233 FL",100.00,2025-05-14,Purchase,New,2025-06 - Discover 1342,Discover 1342
"AMAZON PRIME*NZ69N7VH2 AMZN.COM/BILLWA",7.64,2025-05-17,Purchase,New,2025-06 - Discover 1342,Discover 1342
"VEG - SAN RAMON SAN RAMON CA",1275.14,2025-05-19,Purchase,New,2025-06 - Discover 1342,Discover 1342
"WWW.CUBETRACKER.COM 2693597886 MI",19.95,2025-05-25,Purchase,New,2025-06 - Discover 1342,Discover 1342
"INTUIT *QBOOKS ONLINE CL.INTUIT.COMCA",35.00,2025-05-26,Purchase,New,2025-06 - Discover 1342,Discover 1342
"AMAZON KIDS *NN4T28ZF1 888-802-3080 WA",5.99,2025-05-27,Purchase,New,2025-06 - Discover 1342,Discover 1342
"FASTPOST 2099144140 CA",73.00,2025-05-28,Purchase,New,2025-06 - Discover 1342,Discover 1342
"FASTPOST 2099144140 CA",73.00,2025-05-28,Purchase,New,2025-06 - Discover 1342,Discover 1342
"VITZ CHIROPRACTIC & RE 8443105263 CA",250.00,2025-05-28,Purchase,New,2025-06 - Discover 1342,Discover 1342
"WHEEL WORKS 117366 WALNUT CREEK CA",721.01,2025-05-29,Purchase,New,2025-06 - Discover 1342,Discover 1342
"PY *SPACE SHOP STORAGE O NORTH OLMSTEDOH",142.60,2025-06-01,Purchase,New,2025-06 - Discover 1342,Discover 1342
"COURTYARD BY MARRIOTT AN ANAHEIM CA",998.92,2025-06-02,Purchase,New,2025-06 - Discover 1342,Discover 1342
"VITZ CHIROPRACTIC & RE 8443105263 CA",200.00,2025-06-02,Purchase,New,2025-06 - Discover 1342,Discover 1342
"AMAZON.COM*NH0JN30R2 AMZN.COM/BILLWA",8.72,2025-06-05,Purchase,New,2025-06 - Discover 1342,Discover 1342
"VITZ CHIROPRACTIC & RE 8443105263 CA",200.00,2025-06-05,Purchase,New,2025-06 - Discover 1342,Discover 1342
"PRIME VIDEO CHANNELS AMZN.COM/BILLWA",12.99,2025-06-07,Purchase,New,2025-06 - Discover 1342,Discover 1342
"AMAZON.COM*NH4S70WO2 AMZN.COM/BILLWA",36.84,2025-06-09,Purchase,New,2025-06 - Discover 1342,Discover 1342
"AMAZON.COM*NA39O6LA2 AMZN.COM/BILLWA",36.84,2025-06-10,Purchase,New,2025-06 - Discover 1342,Discover 1342
